,avgRating,Votes,approval_Index,budget,DomesticGross,WorldwideGross,runtime
163,6.3,213088.0,5.555349654572242,155000000,100916094,468043852,113.0
164,5.6,119459.0,4.684991450671371,155000000,59874525,290930148,111.0
165,5.6,171605.0,4.834234401037886,155000000,34297191,167297191,175.0
166,7.4,261392.0,6.65959007961617,152000000,146880162,489592267,140.0
167,6.2,336658.0,5.673709952969494,151500000,198539855,449239853,183.0
168,7.0,644018.0,6.756887831393048,151000000,319246193,708272592,144.0
169,6.8,176653.0,5.912895840682456,150000000,477373578,1437862795,103.0
170,7.4,664284.0,7.167397708319825,150000000,412563408,817691766,141.0
171,7.4,631103.0,7.139499423331927,150000000,400953009,1257909889,102.0
172,8.0,505356.0,7.598275987166102,150000000,341268248,1002462578,108.0
173,7.5,589237.0,7.199883823970788,150000000,292137260,939619849,138.0
174,7.7,634392.0,7.437227804307983,150000000,290201752,886742787,157.0
175,7.2,600147.0,6.916334015935126,150000000,281553689,738576929,138.0
176,7.6,342004.0,6.993447729676663,150000000,248757044,630901967,107.0
177,6.4,488291.0,6.036079515305479,150000000,227946274,624234272,92.0
178,7.4,387558.0,6.874020871896155,150000000,224543292,432224634,132.0
179,6.7,488960.0,6.325875146508909,150000000,206459076,475825484,115.0
180,8.1,746380.0,7.9273091782853395,150000000,206445654,626549695,111.0
181,6.8,689064.0,6.593892096533326,150000000,206362140,644602516,112.0
182,8.2,1480348.0,8.439953932830003,150000000,205343774,358858124,140.0
183,7.8,667722.0,7.564912981322426,150000000,190068280,518058826,106.0
184,7.0,855896.0,6.9033725674368975,150000000,181030624,449326618,115.0
185,6.6,232024.0,5.867509150781864,150000000,180174880,599680774,89.0
186,6.5,509926.0,6.153186657035437,150000000,179883157,374825760,107.0
187,6.0,200676.0,5.258038608680305,150000000,177243721,402231063,105.0
188,7.2,291106.0,6.533073418987595,150000000,165249063,664837547,90.0
189,8.1,1011350.0,8.108365178352786,150000000,153636354,365769378,120.0
190,6.7,518170.0,6.354477613070807,150000000,139270910,427300260,129.0
191,7.4,442590.0,6.946312786995548,150000000,137690172,579055653,140.0
192,5.7,94797.0,4.674031024850497,150000000,135386665,310043823,81.0
193,6.9,361377.0,6.365144414538387,150000000,133501348,399387745,126.0
194,6.7,296959.0,6.080046012879996,150000000,133375846,490875846,138.0
195,7.3,540892.0,6.958391124564524,150000000,133298577,483152040,163.0
196,4.0,165582.0,3.4048441836571275,150000000,131772187,319713881,103.0
197,6.1,166151.0,5.263137164771563,150000000,126631277,287594577,91.0
198,5.1,47550.0,3.9092567874940576,150000000,119436770,292817841,88.0
199,6.8,214916.0,6.010986697898872,150000000,114053579,328015029,96.0
200,7.2,227400.0,6.402239713093133,150000000,96093622,231219744,102.0
201,5.7,190991.0,4.967800547634576,150000000,83670083,305270083,99.0
202,6.3,169778.0,5.450030934244248,150000000,82280579,195080579,115.0
203,6.2,270654.0,5.574162609301309,150000000,79727149,238202668,113.0
204,6.3,225122.0,5.580814340447332,150000000,73103784,205440387,131.0
205,4.5,73317.0,3.57719956989904,150000000,70592228,143987946,115.0
206,5.8,108118.0,4.814453878518412,150000000,62189884,142634358,103.0
207,5.9,138544.0,5.00737439263477,150000000,45157105,334486852,103.0
208,6.4,46.0,1.6710041688413024,150000000,45157105,334486852,72.0
209,5.7,65124.0,4.516577791094131,150000000,35088320,151525973,111.0
210,5.4,22949.0,3.857527682927493,150000000,21392758,39549758,88.0
211,5.1,83169.0,4.11904688914727,150000000,19060660,59053195,130.0
212,6.6,129096.0,5.582811951840919,149000000,64665672,179357126,85.0
213,6.8,185212.0,5.936567418536075,145000000,216391482,746921271,95.0
214,7.8,340661.0,7.178697006512547,145000000,177002924,614586270,102.0
215,7.3,230552.0,6.500384280327015,145000000,171091819,448191819,88.0
216,6.8,72239.0,5.465514399399599,145000000,111506430,269806430,92.0
